District,Deposit Rural,Semi-Urban,Urban,Total Deposit,Advance Rural,Total Advances,CD Ratio Rural,Overall CD Ratio
Bishnupur,1303.95,128.17,,30530.13,4853.87,66299.35,372.24,217.16
Chandel,12368.37,,,12368.37,15065.88,15166.27,121.81,122.62
Churachandpur,84806.12,74.85,,89365.09,56214.36,66063.52,66.29,73.93
Imphal East,102319.73,37.33,51.78,222973.11,60481.67,122139.02,59.11,54.78
Imphal West,24453.01,126.07,53.35,699403.98,17885.88,399271.92,73.14,57.09
Jiribam,6992.28,0,,6999.6,2639.71,2639.71,37.75,37.71
Kakching,0,149.72,,14931.61,0,22355.88,,149.72
Kamjong,812.96,,,812.96,1544.77,1544.77,190.02,190.02
Kangpokpi,12012.78,,,12012.78,10371.18,10371.18,86.33,86.33
Noney,3248,,,3248,3275.82,3275.82,100.86,100.86
Pherzawl,97.83,,,97.83,991.83,991.83,1013.83,1013.83
Senapati,61747.88,,,61747.88,41895.58,41952.51,67.85,67.94
Tamenglong,683.38,30.17,,13083.12,68.62,3889.57,10.04,29.73
Tengnoupal,4935.62,62.74,,11962.66,9229.3,13638.33,186.99,114.01
Thoubal,5454.22,125.28,,45775.48,4606.26,56306.52,84.45,123.01
Ukhrul,1126.24,39.11,,24889.06,1770.97,11183.5,157.25,44.93
