district,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Disbursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Bishnupur,398,4865.77,170,4045.37,3,44.46,21,201,0,0,21,201
Chandel,92,1147.48,22,645.69,79,1379.79,0,0,0,0,0,0
Churachandpur,748,8331.08,177,5546.6,345,4059.45,147,1155.03,2,36,147,1155.03
Imphal East,846,9745.23,166,4332.34,467,7814.81,152,3157.4,3,92,154,3173
Imphal West,3602,41531.97,1065,27533.49,177,2598.93,244,2653.45,15,167.98,225,2398.46
Jiribam,8,76.14,1,3.29,8,76.14,8,76.14,2,45,8,76.14
Kakching,358,3497.56,64,1843.84,26,148.6,86,1240,3,38,86,1240
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,157,2556.17,43,1253.79,217,3319.93,0,0,0,0,0,0
Noney,0,0,1,21.02,1,21.02,0,0,0,0,0,0
PHERZAWAL,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,229,3575.47,54,1903.52,375,5429.52,1,12.57,0,0,1,12.57
Tamenglong,6,76.64,7,133.76,0,0,2,35,0,0,2,35
Tengnoupal,62,899.52,14,508.94,69,1170.42,8,40,0,0,8,40
Thoubal,444,4635.38,132,2934.53,11,103.06,22,144.65,1,20,22,144.65
Ukhrul,13,106.48,3,48.57,0,0,1,14,0,0,1,14
