district,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Bishnupur,6112,116827,2370,23273,191051,11720,1399,30784
Chandel,1017,22047,573,3173,34122,2236,100,4290
Churachandpur,7240,145713,4338,33779,223875,26400,1178,42197
Imphal East,12342,188242,6394,44442,290112,24794,3948,60732
Imphal West,36074,416653,26472,95590,589493,63664,6426,138090
Jiribam,326,31040,0,812,38031,0,215,1353
Kakching,3374,76400,1241,19877,123467,11451,564,23815
Kamjong,35,2180,28,562,3826,324,13,610
Kangpokpi,1522,14104,1026,4715,23270,3501,507,6744
Noney,863,9645,426,2638,13327,1734,159,3660
PHERZAWAL,61,449,23,454,695,188,0,515
Senapati,4525,82434,1898,13225,122233,8100,542,18292
Tamenglong,254,42602,12,1502,53558,269,167,1923
Tengnoupal,3295,29294,1511,6910,39250,3811,332,10537
Thoubal,4457,121594,1527,22996,208694,12223,1647,29100
Ukhrul,1973,84323,739,4852,120750,2185,310,7135
