District,Sep-I No.,Sep-I Amt,Sep-G No.,Sep-G Amt,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amt,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA Amt,NULM NPA Amt. %
Bishnupur,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.56,4,0.56,100
Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,0,0,0,0,0,0,0,0,1,0.08,0,0,0,7,2.88,6,1.98,68.75
Imphal East,0,0,0,0,0,7,7.2,72,7,7.2,72,7,7.2,5,4.12,0,0,0
Imphal West,0,0,0,0,0,0,0,0,0,0,0,0,0,198,152.91,32,10.3,6.74
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8.84,2,1.46,16.52
Kakching,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33,1,0.33,100
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.77,0,0,0
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.26,3,0.22,84.62
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,0,0,0,0,0,4,4,45,4,4,45,4,4,5,2.11,4,0.96,45.5
Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0,65,6.99,59,6.75,96.57
