District,Name of Villagewithpopulation >5000,Population,Bank,Allottedto Bankforopeningof Branchdulyapprovedinthe Dcc/Slbc,No. of Brick & Mortar Br. Tobeopened (Jan-16 to Mar-16),No. of Brick & Mortar Br. Tobeopened (April-16 to Mar-2017)
Kakching,Wangoo,6134,,Indian Overseas Bank,,April-16 to Mar-2017
Imphal West,Patsoi,5358,,,,
Imphal East,Changamdabi,6419,,UCO Bank,,April-16 to Mar-2017
Ukhrul,Hundung,10785,,Bank of Baroda,,April-16 to Mar-2017
