district,Bank Name,Crop Loan No,Amt,Forestry and wasteland Dev. No,Amt,Water Resource No,Amt,Farm mechanizatio n No,Amt,Plantation & horticulture No,Amt,Animal Husbandry No,Amt,Fishery No,Amt,Farm Credit Others No,Amt,Agri. Infrastructure No,Amt,Ancillary Activities No,Amt,Tot Agri (PS) Disb No,Amt
Bishnupur,,981,1282.52,0,1282.52,0,1282.52,31,1282.52,0,1282.52,145,1282.52,46,1282.52,25,1282.52,0,1282.52,2,1282.52,1230,1282.52
Chandel,,17,20.48,0,20.48,0,20.48,0,20.48,0,20.48,5,20.48,0,20.48,6,20.48,0,20.48,0,20.48,28,20.48
Churachandpur,,413,473.21,2,473.21,0,473.21,12,473.21,0,473.21,24,473.21,0,473.21,24,473.21,0,473.21,14,473.21,489,473.21
Imphal East,,377,1138.06,6,1138.06,0,1138.06,0,1138.06,0,1138.06,192,1138.06,23,1138.06,80,1138.06,11,1138.06,70,1138.06,759,1138.06
Imphal West,,429,4806.88,6,4806.88,0,4806.88,2,4806.88,0,4806.88,398,4806.88,49,4806.88,255,4806.88,0,4806.88,116,4806.88,1255,4806.88
Jiribam,,0,29.15,0,29.15,0,29.15,0,29.15,0,29.15,0,29.15,0,29.15,35,29.15,0,29.15,0,29.15,35,29.15
Kakching,,150,332.63,0,332.63,0,332.63,0,332.63,0,332.63,21,332.63,75,332.63,34,332.63,0,332.63,0,332.63,280,332.63
Kamjong,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,,141,155.1,0,155.1,0,155.1,1,155.1,0,155.1,3,155.1,2,155.1,23,155.1,0,155.1,3,155.1,173,155.1
Noney,,5,11.1,0,11.1,0,11.1,0,11.1,0,11.1,1,11.1,0,11.1,0,11.1,0,11.1,1,11.1,7,11.1
PHERZAWAL,,3,3.15,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,0,3.15,3,3.15
Senapati,,377,237.95,0,237.95,0,237.95,0,237.95,0,237.95,12,237.95,0,237.95,13,237.95,0,237.95,8,237.95,410,237.95
Tamenglong,,4,669.42,0,669.42,0,669.42,0,669.42,0,669.42,0,669.42,0,669.42,0,669.42,0,669.42,173,669.42,177,669.42
Tengnoupal,,211,217.15,0,217.15,0,217.15,0,217.15,0,217.15,9,217.15,0,217.15,28,217.15,0,217.15,4,217.15,252,217.15
Thoubal,,948,1887.35,9,1887.35,0,1887.35,16,1887.35,0,1887.35,224,1887.35,33,1887.35,3,1887.35,0,1887.35,29,1887.35,1262,1887.35
Ukhrul,,53,111.57,0,111.57,0,111.57,0,111.57,0,111.57,7,111.57,0,111.57,6,111.57,0,111.57,1,111.57,67,111.57
