District,Christians No.,Christia Ns Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhis Ts Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zorastri Ans Amt,Jains No.,Jains Amt,Tot Minority Disb No.,Tot Minority Disb Amt
Bishnupur,412,944.29,143,265.17,2,1.51,73,334.52,0,0,0,0,630,1545.49
Chandel,2836,2667.59,87,52.97,2,23,0,0,0,0,0,0,2925,2743.56
Churachandpur,6427,8832.23,260,465.92,4,0,22,46.24,0,0,0,0,6713,9344.39
Imphal East,2210,2709.7,948,1004.53,5,13.7,44,79.23,0,0,0,0,3207,3807.16
Imphal West,4023,6104.21,1857,1952.98,6,20.8,61,174.99,0,0,8,116.5,5955,8369.48
Jiribam,44,39.25,91,69.27,0,0,0,0,0,0,0,0,135,108.52
Kakching,187,329.19,121,111.06,1,1.25,4,0,0,0,0,0,313,441.5
Kamjong,171,92.39,9,0,2,0,0,0,0,0,0,0,182,92.39
Kangpokpi,1111,1172.26,60,193.45,1,2.6,2,8.2,0,0,0,0,1174,1376.51
Noney,252,319.27,5,0,0,0,2,0,0,0,0,0,259,319.27
Pherzawl,82,100.9,5,0,0,0,0,0,0,0,0,0,87,100.9
Senapati,7746,5439.59,79,123.94,10,0.51,4,11,2,0,0,0,7841,5575.04
Tamenglong,187,449.76,1,2.5,0,0,0,0,0,0,0,0,188,452.26
Tengnoupal,1369,1436.94,114,53.46,5,30.52,2,1.91,0,0,0,0,1490,1522.83
Thoubal,235,368.69,955,1206.97,0,0,130,162.78,2,7.2,0,0,1322,1745.64
Ukhrul,1151,1795.7,10,21.3,1,2,0,0,1,0,0,0,1163,1819
