District,Bank Name,Micro O/S No.,Amt,Small O/S No.,Medium O/S No.,Other MSME No.,MSME Total O/S No.
Bishnupur,,3808,4901.08,119,19,248,4194
Chandel,,436,512.76,2,0,76,514
Churachandpur,,2489,5779.41,215,53,65,2822
Imphal East,,10416,17574.75,497,72,89,11074
Imphal West,,19663,67762.39,1427,204,1522,22816
Jiribam,,236,734.38,49,0,0,285
Kakching,,2238,3771.64,368,1,42,2649
Kamjong,,86,92.47,0,0,0,86
Kangpokpi,,853,2203.41,24,0,17,894
Noney,,409,404.8,0,0,0,409
Pherzawl,,12,21.31,0,0,1,13
Senapati,,1651,3922.02,207,1,22,1881
Tamenglong,,612,725.04,77,0,0,689
Tengnoupal,,845,952.01,116,0,48,1009
Thoubal,,4887,7125.77,156,31,130,5204
Ukhrul,,879,1440.69,83,5,12,979
