district,Current Year No. of Female Account,Current Year Sumof Female Amount,Current Year No. of Male Accountto SC,Current Year Sumof Male Amountto SC,Current Year No. of Male Accountto ST,Current Year Sumof Male Amountto ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Bishnupur,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,8,10,0,0,5,32.55,13,42.55,26,351.27,0,0,0
Imphal East,12,52.7,4,3.12,8,29.2,24,85.02,35,298.12,3,71.55,24
Imphal West,22,141.15,13,212.2,27,38.8,62,392.15,94,1190.76,31,500.86,42.06
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,0,0,0,0,0,0,0,0,5,39.19,1,5.25,13.4
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,2,3.75,0,0,3,4.25,5,8,0,0,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,3,19.52,0,0,0,0,3,19.52,28,372.88,1,4.69,1.26
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,1,1.15,1,1.15,0,0,0,0,0
Thoubal,0,0,0,0,0,0,0,0,21,124.38,1,16.16,12.99
Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0
