District,Bank Name,ATM,Total ATM,Branch,Total Branch,B/C,B/C Total,IPPB,Total Incl. IPPB
Bishnupur,,19,33,3,18,43,10,80,123
Chandel,,4,4,4,4,9,5,32,41
Churachandpur,,16,29,17,20,39,13,17,56
Imphal East,,30,51,20,29,78,10,61,139
Imphal West,,36,187,8,69,102,11,0,102
Jiribam,,1,2,3,3,5,0,49,54
Kakching,,1,12,0,7,33,5,0,33
Kamjong,,1,1,2,2,2,0,0,2
Kangpokpi,,8,8,7,7,10,1,0,10
Noney,,1,1,3,3,5,1,0,5
Pherzawl,,0,0,1,1,2,0,0,2
Senapati,,17,17,10,10,21,3,15,36
Tamenglong,,0,3,2,5,9,0,18,27
Tengnoupal,,4,9,3,7,6,0,0,6
Thoubal,,9,33,8,25,84,7,93,177
Ukhrul,,4,7,3,7,17,1,27,44
