District,Bank Name,CY Sanction,CY Disbursed,PMEGP O/S,PMEGP NPA,PMEGP NPA Amt. %
Bishnupur,,9,9,686,377,54.48
Chandel,,0,0,218,120,50.52
Churachandpur,,17,31,504,198,28.81
Imphal East,,47,75,901,343,31.96
Imphal West,,28,84,1051,468,35.64
Jiribam,,0,0,31,4,15.97
Kakching,,2,9,251,141,56.05
Kamjong,,0,0,47,18,33.48
Kangpokpi,,7,17,167,45,35.57
Noney,,0,0,34,23,63.45
Pherzawl,,5,5,10,5,48.13
Senapati,,6,10,692,367,48.72
Tamenglong,,0,16,287,115,32.76
Tengnoupal,,0,0,78,26,28.45
Thoubal,,25,40,614,182,19.57
Ukhrul,,0,7,389,243,66.41
