District,Sanctioned No.,Of Which Girl Student Sanctioned No.,Sanctioned Amt,Of Which Girl Student Sanctioned Amt,Disb. Number,Of Which Girl Student Disb No.,Disb. Amt,Of Which Girl Student Disb Amt,O/S No.,Of Which Girl Student O/S No.,O/S amt,Of Which Girl Student O/S Amt
Bishnupur,1,1,54,54,2,2,16.6,16.6,19,8,101.65,40.02
Chandel,0,0,0,0,1,1,2.15,2.15,9,6,21.38,15.77
Churachandpur,3,2,4.01,2.04,10,5,14.06,3.59,66,38,152.23,68.56
Imphal East,4,6,13.18,13.18,20,11,113.08,74.92,120,53,592.43,284.53
Imphal West,11,5,75.91,27.85,76,45,343.32,211.92,484,216,2370.87,1163.48
Jiribam,0,0,0,0,0,0,0,0,1,1,0.46,0.46
Kakching,0,0,0,0,8,3,28.99,10.55,55,18,111.33,32.56
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,2,2,3.09,3.09,16,13,93.53,56.1
Noney,0,0,0,0,0,0,0,0,1,1,6.66,6.66
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,1,0,0.48,0,18,10,56.83,36.05,61,33,237.4,118.68
Tamenglong,2,2,2.35,2.35,4,3,2.96,2.46,7,5,12.52,6.75
Tengnoupal,0,0,0,0,0,0,0,0,3,1,19.37,14.64
Thoubal,1,1,3.12,3.12,4,1,17.91,3,27,11,119.02,61.75
Ukhrul,0,0,0,0,0,0,0,0,6,2,15.95,5.39
