District,Bank Name,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisationn No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC-Agri Disb No.
Bishnupur,,283,2308.69,0,11,1,822,223,0,0,189,1529
Chandel,,6,7.79,0,0,2,5,0,0,0,0,13
Churachandpur,,63,545.08,0,4,1,123,119,0,0,45,355
Imphal East,,43,495.39,5,1,4,56,27,0,0,104,240
Imphal West,,56,1555.86,11,1,12,332,42,6,0,108,568
Jiribam,,0,0,0,0,0,0,0,0,0,0,0
Kakching,,17,127.48,0,0,0,12,31,0,0,0,60
Kamjong,,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,,4,52.51,0,3,1,6,10,0,0,5,29
Noney,,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0
Senapati,,30,25.05,0,3,1,1,0,0,0,0,35
Tamenglong,,0,3.65,0,0,0,0,0,0,0,5,5
Tengnoupal,,7,7.39,0,0,1,0,0,0,0,0,8
Thoubal,,91,1069.86,0,52,2,252,41,0,0,84,522
Ukhrul,,3,35.42,0,0,0,3,5,0,0,3,14
