District,Bank Name,Inactive CSP,Ru Paycardactivein PMJDY,Firsttimeactive Ru Paycard,Aadhaar Authenticated Sb accounts,Ru Paycardissuedin KCC
Bishnupur,BOB,0,91689,47370,108511,4829
Chandel,BOI,0,9663,7408,15436,89
Churachandpur,BOM,3,67487,49743,107606,1303
Imphal East,CAN,6,118259,53174,164685,2630
Imphal West,CBI,1212,156035,124350,322193,3964
Jiribam,IND,0,27617,47,16,0
Kakching,IOB,0,55019,27441,53338,851
Kamjong,PNB,0,2332,2332,1877,0
Kangpokpi,PSB,0,13143,14472,24022,326
Noney,SBI,0,6941,5457,5768,155
Pherzawl,UCO,0,303,303,398,1
Senapati,UNI,1,50516,33926,50653,773
Tamenglong,Total,1,43552,2144,1049,2
Tengnoupal,AXIS,0,16729,7743,16553,148
Thoubal,BANDHAN,1,84094,63644,122362,2481
Ukhrul,HDFC,0,44251,18339,20968,278
