district,total_atm,atm_rural,atm_semi_urban,atm_urban,atm_rural_prev_fy,atm_rural_prev_q,atm_rural_growth_abs,atm_rural_growth_pct,atm_semi_urban_prev_fy,atm_semi_urban_prev_q,atm_semi_urban_growth_abs,atm_semi_urban_growth_pct,atm_urban_prev_fy,atm_urban_prev_q,atm_urban_growth_abs,atm_urban_growth_pct,atm_total_prev_fy,atm_total_prev_q,atm_total_growth_abs,atm_total_growth_pct
Balod,79,31,47,1,27,27,4,14.8148,51,50,-4,-7.8431,0,0,1,,78,77,1,1.2821
Baloda Bazar,87,17,70,0,18,18,-1,-5.5556,69,69,1,1.4493,1,1,-1,-100,88,88,-1,-1.1364
Balrampur,26,15,11,0,15,14,0,0,12,13,-1,-8.3333,0,0,0,,27,27,-1,-3.7037
Bastar,102,16,5,81,19,19,-3,-15.7895,9,9,-4,-44.4444,78,77,3,3.8462,106,105,-4,-3.7736
Bemetara,53,20,32,1,19,17,1,5.2632,34,32,-2,-5.8824,0,0,1,,53,49,0,0
Bijapur,19,8,10,1,8,8,0,0,11,11,-1,-9.0909,0,0,1,,19,19,0,0
Bilaspur,296,23,26,247,25,26,-2,-8,26,28,0,0,244,248,3,1.2295,295,302,1,0.339
Dantewada,46,6,39,1,6,6,0,0,42,41,-3,-7.1429,0,0,1,,48,47,-2,-4.1667
Dhamtari,87,18,22,47,18,17,0,0,28,28,-6,-21.4286,46,44,1,2.1739,92,89,-5,-5.4348
Durg,439,45,29,365,44,43,1,2.2727,34,35,-5,-14.7059,374,370,-9,-2.4064,452,448,-13,-2.8761
Gariaband,39,16,23,0,14,14,2,14.2857,21,21,2,9.5238,1,1,-1,-100,36,36,3,8.3333
Gaurela-Pendra-Marwahi,22,0,21,1,0,0,0,0,21,20,0,0,1,0,0,0,22,20,0,0
Janjgir-Champa,135,42,90,3,40,39,2,5,93,91,-3,-3.2258,5,3,-2,-40,138,133,-3,-2.1739
Jashpur,53,9,43,1,11,11,-2,-18.1818,45,41,-2,-4.4444,1,1,0,0,57,53,-4,-7.0175
Kabirdham,66,13,52,1,12,12,1,8.3333,53,51,-1,-1.8868,1,1,0,0,66,64,0,0
Kanker,69,20,48,1,21,19,-1,-4.7619,44,45,4,9.0909,1,1,0,0,66,65,3,4.5455
Kondagaon,37,4,32,1,3,3,1,33.3333,33,31,-1,-3.0303,0,0,1,,36,34,1,2.7778
Korba,159,18,17,124,20,21,-2,-10,17,15,0,0,129,129,-5,-3.876,166,165,-7,-4.2169
Korea,66,8,58,0,13,13,-5,-38.4615,55,55,3,5.4545,0,0,0,,68,68,-2,-2.9412
Mahasamund,87,21,66,0,21,21,0,0,65,64,1,1.5385,1,1,-1,-100,87,86,0,0
Mungeli,38,5,26,7,5,5,0,0,26,26,0,0,7,7,0,0,38,38,0,0
Narayanpur,19,1,18,0,0,0,1,,17,17,1,5.8824,0,0,0,,17,17,2,11.7647
Raigarh,183,29,64,90,38,38,-9,-23.6842,60,60,4,6.6667,95,93,-5,-5.2632,193,191,-10,-5.1813
Raipur,735,65,62,608,74,69,-9,-12.1622,73,72,-11,-15.0685,622,631,-14,-2.2508,769,772,-34,-4.4213
Rajnandgaon,154,36,32,86,36,37,0,0,43,41,-11,-25.5814,76,74,10,13.1579,155,152,-1,-0.6452
Sukma,12,3,9,0,3,3,0,0,8,7,1,12.5,0,0,0,,11,10,1,9.0909
Surajpur,42,9,33,0,12,12,-3,-25,33,31,0,0,0,0,0,,45,43,-3,-6.6667
Surguja,93,18,0,75,17,18,1,5.8824,9,10,-9,-100,73,73,2,2.7397,99,101,-6,-6.0606
