district,acp_agri_target,acp_agri_achievement,acp_agri_pct,acp_msme_target,acp_msme_achievement,acp_msme_pct,acp_other_psa_target,acp_other_psa_achievement,acp_other_psa_pct,acp_total_target,acp_total_achievement,acp_total_pct
Balod,963.77,548.25,56.886,216.03,123.51,57.1726,97.5,30.11,30.8821,1277.3,701.87,54.9495
Baloda Bazar,1141.8,973.04,85.2198,324.08,265.9,82.0476,169.04,48.06,28.4311,1634.92,1287,78.7194
Balrampur,245,175.41,71.5959,90,65.7,73,70.02,16.37,23.379,405.02,257.48,63.5722
Bastar,523.1,330.51,63.1829,335.19,297.45,88.7407,89.57,49.53,55.2975,947.86,677.49,71.4757
Bemetara,1351.04,670.34,49.6166,161.02,92.54,57.4711,65.92,16.95,25.713,1577.98,779.83,49.4195
Bijapur,67.27,67.2,99.8959,6.29,12.49,198.5692,11.48,2.97,25.8711,85.04,82.66,97.2013
Bilaspur,714.03,726.63,101.7646,1093.57,2210.18,202.1069,248.81,137.8,55.3836,2056.41,3074.61,149.5135
Dantewada,69.05,22.56,32.672,23.58,42.15,178.7532,7.71,5.22,67.7043,100.34,69.93,69.693
Dhamtari,868.15,704.96,81.2026,307.33,211.21,68.7242,98.39,34.15,34.7088,1273.87,950.32,74.601
Durg,1282.87,963.51,75.1058,962.37,2719.27,282.5597,158.63,173.36,109.2858,2403.87,3856.14,160.4138
Gariaband,431.82,309.31,71.6294,71.07,52.77,74.2507,77.16,7.57,9.8108,580.05,369.65,63.7273
Gaurela-Pendra-Marwahi,421.21,93.8,22.2692,221,43.29,19.5882,102.1,12.53,12.2723,744.31,149.62,20.1018
Janjgir-Champa,1212.68,675.32,55.6882,424.14,417.1,98.3402,193.86,67.47,34.8035,1830.68,1159.89,63.3584
Jashpur,434.34,176.32,40.5949,73.69,132.6,179.943,49.96,23.34,46.7174,557.99,332.26,59.5459
Kabirdham,872.75,678.37,77.7279,130.21,128.84,98.9479,64.55,38.38,59.4578,1067.51,845.59,79.2114
Kanker,460.7,467.03,101.374,197.1,142.04,72.0649,126.61,20.09,15.8676,784.41,629.16,80.2081
Kondagaon,411.68,223.62,54.3189,61.76,78.51,127.1211,45.15,19.64,43.4994,518.59,321.77,62.0471
Korba,461.95,172.59,37.3612,468.85,672.51,143.4382,126.74,53.7,42.3702,1057.54,898.8,84.9897
Korea,285.01,197.42,69.2677,97.03,158.14,162.9805,62.27,19.13,30.7211,444.31,374.69,84.3308
Mahasamund,1276.64,909.93,71.2754,189.47,142.76,75.347,87.95,29.11,33.0984,1554.06,1081.8,69.6112
Mungeli,515.21,344.21,66.8097,138.95,61.58,44.3181,135.35,27.16,20.0665,789.51,432.95,54.8378
Narayanpur,39.47,30.7,77.7806,18.38,15.35,83.5147,8.26,9.67,117.0702,66.11,55.72,84.2838
Raigarh,1403.08,675.05,48.112,700.4,858.42,122.5614,383.55,66.3,17.2859,2487.03,1599.77,64.3245
Raipur,2873.74,2303.28,80.1492,5343.71,8498.72,159.0416,1328.02,623.6,46.9571,9545.47,11425.6,119.6966
Rajnandgaon,1280.01,1275.83,99.6734,235.02,425.41,181.0101,239.99,109.34,45.5602,1755.02,1810.58,103.1658
Sukma,81.35,41.79,51.3706,15.96,13.79,86.4035,6.15,1.06,17.2358,103.46,56.64,54.7458
Surajpur,522.36,267.34,51.1793,87.65,157.01,179.1329,81.14,13.78,16.983,691.15,438.13,63.3914
Surguja,510.38,419.21,82.1368,215,548.12,254.9395,46.61,34.33,73.6537,771.99,1001.66,129.7504
