district,total_branch,branch_rural,branch_semi_urban,branch_urban,branch_rural_prev_fy,branch_rural_prev_q,branch_rural_growth_abs,branch_rural_growth_pct,branch_semi_urban_prev_fy,branch_semi_urban_prev_q,branch_semi_urban_growth_abs,branch_semi_urban_growth_pct,branch_urban_prev_fy,branch_urban_prev_q,branch_urban_growth_abs,branch_urban_growth_pct,branch_total_prev_fy,branch_total_prev_q,branch_total_growth_abs,branch_total_growth_pct
Balod,104,69,34,1,66,66,3,4.5455,37,37,-3,-8.1081,0,0,1,,103,103,1,0.9709
Baloda Bazar,125,59,66,0,58,59,1,1.7241,62,62,4,6.4516,0,0,0,,120,121,5,4.1667
Balrampur,64,51,12,1,49,48,2,4.0816,15,15,-3,-20,0,0,1,,64,63,0,0
Bastar,110,68,3,39,66,66,2,3.0303,8,8,-5,-62.5,33,31,6,18.1818,107,105,3,2.8037
Bemetara,78,51,26,1,49,47,2,4.0816,26,26,0,0,1,0,0,0,76,73,2,2.6316
Bijapur,42,34,8,0,35,35,-1,-2.8571,7,5,1,14.2857,0,0,0,,42,40,0,0
Bilaspur,247,69,43,135,71,68,-2,-2.8169,43,43,0,0,136,134,-1,-0.7353,250,245,-3,-1.2
Dantewada,42,21,21,0,22,23,-1,-4.5455,19,16,2,10.5263,0,0,0,,41,39,1,2.439
Dhamtari,113,53,22,38,54,54,-1,-1.8519,28,29,-6,-21.4286,28,27,10,35.7143,110,110,3,2.7273
Durg,282,75,37,170,76,76,-1,-1.3158,38,34,-1,-2.6316,169,167,1,0.5917,283,277,-1,-0.3534
Gariaband,56,33,23,0,34,34,-1,-2.9412,22,22,1,4.5455,0,0,0,,56,56,0,0
Gaurela-Pendra-Marwahi,22,7,15,0,7,9,0,0,13,10,2,15.3846,0,0,0,,20,19,2,10
Janjgir-Champa,163,85,76,2,88,86,-3,-3.4091,72,71,4,5.5556,3,3,-1,-33.3333,163,160,0,0
Jashpur,81,39,41,1,40,38,-1,-2.5,40,38,1,2.5,0,0,1,,80,76,1,1.25
Kabirdham,76,38,36,2,37,37,1,2.7027,35,36,1,2.8571,2,2,0,0,74,75,2,2.7027
Kanker,94,59,34,1,57,54,2,3.5088,32,33,2,6.25,1,1,0,0,90,88,4,4.4444
Kondagaon,53,27,24,2,28,26,-1,-3.5714,23,20,1,4.3478,1,1,1,100,52,47,1,1.9231
Korba,125,40,27,58,40,40,0,0,27,26,0,0,63,61,-5,-7.9365,130,127,-5,-3.8462
Korea,89,40,47,2,40,42,0,0,46,47,1,2.1739,2,2,0,0,88,91,1,1.1364
Mahasamund,126,54,71,1,52,50,2,3.8462,70,69,1,1.4286,1,1,0,0,123,120,3,2.439
Mungeli,51,22,28,1,22,22,0,0,25,24,3,12,1,1,0,0,48,47,3,6.25
Narayanpur,20,7,13,0,8,7,-1,-12.5,12,11,1,8.3333,0,0,0,,20,18,0,0
Raigarh,172,81,40,51,85,84,-4,-4.7059,38,36,2,5.2632,51,49,0,0,174,169,-2,-1.1494
Raipur,492,101,66,325,103,102,-2,-1.9417,60,59,6,10,322,320,3,0.9317,485,481,7,1.4433
Rajnandgaon,184,95,37,52,95,95,0,0,36,31,1,2.7778,50,51,2,4,181,177,3,1.6575
Sukma,31,25,6,0,25,24,0,0,6,4,0,0,0,0,0,,31,28,0,0
Surajpur,84,57,24,3,55,53,2,3.6364,26,22,-2,-7.6923,3,1,0,0,84,76,0,0
Surguja,101,56,3,42,55,55,1,1.8182,11,11,-8,-72.7273,34,33,8,23.5294,100,99,1,1
