district,total_deposit,total_advance,overall_cd_ratio,deposits_prev_fy,deposits_prev_quarter,deposits_growth_abs,deposits_growth_pct,advances_prev_fy,advances_prev_quarter,advances_growth_abs,advances_growth_pct,cd_ratio_prev_fy,cd_ratio_prev_quarter,cd_ratio_benchmark
Balod,4156.36,1852.55,44.5715,3976.99,4037.19,179.37,4.5102,1445.09,1492.82,407.46,28.1962,36.3363,36.9767,40
Baloda Bazar,5071.61,3137.95,61.8729,4951.67,4560.61,119.94,2.4222,2601.57,2511.39,536.38,20.6176,52.5392,55.067,40
Balrampur,2107.69,918.36,43.5719,2133.89,1986.18,-26.2,-1.2278,779.6,725.16,138.76,17.7989,36.5342,36.5103,40
Bastar,4802.63,3012.15,62.7188,4972.37,4482.96,-169.74,-3.4137,3088.73,2478.13,-76.58,-2.4793,62.1179,55.2789,40
Bemetara,2873.2,1841.96,64.1083,2808.57,2522.66,64.63,2.3012,1464.38,1529.33,377.58,25.7843,52.1397,60.6237,40
Bijapur,933.87,459.04,49.1546,955.38,946.71,-21.51,-2.2515,365.2,341.89,93.84,25.6955,38.2256,36.1135,40
Bilaspur,25422.94,11670.32,45.9047,22305.14,19206.49,3117.8,13.9779,10387.56,9463.86,1282.76,12.349,46.5703,49.2743,40
Dantewada,2237.94,1516.69,67.7717,2243.59,2024.74,-5.65,-0.2518,1730.14,1275.37,-213.45,-12.3372,77.1148,62.9893,40
Dhamtari,4411.29,2747.92,62.2929,4329.03,3976.94,82.26,1.9002,2373.75,2317.86,374.17,15.7628,54.8333,58.2825,40
Durg,28382.75,14835.17,52.2683,27424.33,25444.34,958.42,3.4948,13890.95,13315.02,944.22,6.7974,50.6519,52.33,40
Gariaband,1631.77,997.57,61.1342,1731.87,1516.94,-100.1,-5.7799,798.67,808.09,198.9,24.9039,46.116,53.2711,40
Gaurela-Pendra-Marwahi,1132.23,494.08,43.6378,1085.7,1035.53,46.53,4.2857,410.37,369.36,83.71,20.3987,37.7977,35.6687,40
Janjgir-Champa,7383.08,3705.91,50.1946,7275.09,7013.41,107.99,1.4844,3231.4,3228.64,474.51,14.6843,44.4173,46.0352,40
Jashpur,3113.86,1382.88,44.4105,3064.65,2904.98,49.21,1.6057,1208.44,1033.59,174.44,14.4351,39.4316,35.5799,40
Kabirdham,2427.68,2045.91,84.2743,2376.63,2391.49,51.05,2.148,1629.06,1727.71,416.85,25.5884,68.545,72.2441,40
Kanker,3266.05,1877.98,57.5,3184.64,3135.26,81.41,2.5563,1544.35,1459.62,333.63,21.6033,48.4937,46.555,40
Kondagaon,1823.25,1179.64,64.6998,1804.05,1748.34,19.2,1.0643,998.5,875.94,181.14,18.1412,55.3477,50.1012,40
Korba,10421.01,5680.52,54.5103,10286.43,10032.82,134.58,1.3083,4953.95,4270.43,726.57,14.6665,48.1601,42.5646,40
Korea,5418.68,2630.22,48.5399,5359.94,5212.54,58.74,1.0959,1407.13,1315.47,1223.09,86.9209,26.2527,25.2366,40
Mahasamund,3678.58,3152.11,85.6882,3630.73,3417.36,47.85,1.3179,2575.53,2618.74,576.58,22.3868,70.937,76.6305,40
Mungeli,1729.2,1155.84,66.8425,1766.57,1609.59,-37.37,-2.1154,946.11,952.3,209.73,22.1676,53.5563,59.1641,40
Narayanpur,683.62,275.75,40.3367,636.66,616.35,46.96,7.376,236.21,208.35,39.54,16.7393,37.1014,33.8038,40
Raigarh,9801.18,6880.15,70.1972,9701.33,9042.63,99.85,1.0292,5885.45,5037.1,994.7,16.901,60.6664,55.7039,40
Raipur,65639.88,66468.28,101.262,65174.71,56018.62,465.17,0.7137,67408.91,55249.86,-940.63,-1.3954,103.428,98.6277,40
Rajnandgaon,8084.43,4673.71,57.8112,7872.47,7536.26,211.96,2.6924,3765.55,3777.3,908.16,24.1176,47.8319,50.1217,40
Sukma,867.51,379.49,43.7447,831.89,798.88,35.62,4.2818,318.9,284.35,60.59,18.9997,38.3344,35.5936,40
Surajpur,3931.85,1418.61,36.08,3977.94,3808.33,-46.09,-1.1586,1246.29,1150.07,172.32,13.8266,31.33,30.1988,40
Surguja,6124.23,3176.72,51.8713,6125.1,5671.24,-0.87,-0.0142,2692.43,2470.9,484.29,17.9871,43.9573,43.569,40
