District,ST Outstanding Amt,ST Outstanding No.,ST Disbursement Amt,ST Disbursement No.,SC Outstanding Amt,SC Outstanding No.,SC Disbursement Amt,SC Disbursement No.
Eastern West Khasi Hills,49728.66,36045,8627.47,4424,4632.54,1221,2075.27,355
East Garo Hills,6289.01,3947,284.15,94,108.26,29,28.7,8
East Jaintia Hills,25780.53,14142,3480.09,1281,387.69,137,143.29,28
East Khasi Hills,601622.64,150679,51874.79,19547,11696.29,4859,3152.03,948
North Garo Hills,45189.25,14947,52323.52,2290,6078.26,1112,417.93,134
Ri Bhoi,35264.07,30580,3955.74,2220,4669.61,1093,447.95,92
South Garo Hills,4399.09,3624,185.45,93,68.56,22,11.11,4
South West Garo Hills,8307.36,6147,431.11,200,237.76,77,15.03,5
South West Khasi Hills,5354.56,3770,319.47,227,38.04,6,5.25,2
West Garo Hills,27709.04,15401,2246.68,573,1218.37,958,76.56,33
West Jaintia Hills,71571.32,25951,8482.62,2464,3391.46,1097,861.65,198
West Khasi Hills,19616.68,13362,2449.79,1379,302.09,64,116,14
