District,Total Enrolment,APY Enrolment,PMSBY Renewals,PMSBY Eligible Cases,PMSBY Enrolment,PMJJBY Renewals,PMJJBY Eligible Cases,PMJJBY Enrolment
Eastern West Khasi Hills,36912,1081,17774,75044,21085,10663,77605,14746
East Garo Hills,30636,2825,26215,93982,18676,8757,62105,9135
East Jaintia Hills,58375,2373,28372,106114,32350,16848,98094,23652
East Khasi Hills,263388,19573,136627,841662,150313,71747,678897,93502
North Garo Hills,71588,8946,30549,106741,39192,10637,65895,23450
Ri Bhoi,98400,5213,59985,234583,52435,29635,200609,40752
South Garo Hills,17955,1670,12873,70163,11036,4249,48772,5249
South West Garo Hills,60133,3770,47457,104936,37931,13515,64955,18432
South West Khasi Hills,18820,560,13289,58374,11448,4715,52947,6812
West Garo Hills,191892,14303,115884,383344,117272,35174,256812,60317
West Jaintia Hills,88689,3076,45169,233554,51351,24792,202607,34262
West Khasi Hills,48906,1309,18785,107634,28327,10659,107831,19270
