District,Total Msme NPA Amt (PS),Total Msme NPA No. (PS),Other Msme Amt,Other Msme No.,KVIC Amt,KVIC No.,Medium Amt,Medium No.,Small Amt,Small No.,Micro Amt,Micro No.
East Garo Hills,466.15,914,8.19,4,11.91,12,0,0,13.43,1,432.62,897
East Jaintia Hills,919.17,195,0,0,5.65,3,0,0,171.86,8,741.66,184
East Khasi Hills,11617.46,3761,6.8,16,170.71,60,2919.63,9,1528.16,112,6992.16,3564
North Garo Hills,405.47,623,0.99,1,0,0,0,0,0,0,404.48,622
Ri Bhoi,1036.52,826,21.06,31,50.61,30,0,0,18.89,7,945.96,758
South Garo Hills,426.79,487,5.31,1,17.35,13,0,0,0,0,404.13,473
West Garo Hills,2471.19,2253,39.45,20,46.93,25,0,0,156.41,5,2228.4,2203
West Jaintia Hills,1954.46,848,1.14,7,12.44,12,0,0,257.96,39,1682.92,790
West Khasi Hills,765.65,394,3.38,3,6.91,6,0,0,21.99,3,733.37,382
