District,NRLM NPA Amt,No. NRLM NPA,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.,Self-Help Group Current Year Amt,Self-Help Group Current Year No.
Eastern West Khasi Hills,3.3,49,50.21,27,1891.22,984,224.51,88
East Garo Hills,16.74,267,29.09,46,849.22,879,202.06,179
East Jaintia Hills,0.5,5,7.1,5,1432.27,964,126.5,65
East Khasi Hills,2.68,106,15.69,12,3554.31,2708,336.8,216
North Garo Hills,12.03,177,22.54,39,717.88,807,130.27,107
Ri Bhoi,1.57,45,24,37,2134.95,1709,139.2,101
South Garo Hills,30.95,201,47.26,53,528.68,560,31.76,38
South West Garo Hills,5.29,52,22.59,31,732.69,614,60.17,40
South West Khasi Hills,1.73,13,11.17,8,894.9,661,50.8,44
West Garo Hills,10.64,340,93.44,118,2446.97,2053,327.03,198
West Jaintia Hills,2.71,35,8.28,10,2197.83,1501,141,59
West Khasi Hills,0.47,11,8.11,9,1824.38,949,304.44,112
