District,Current Year Disbursement No.,Current Year Disbursement Amt,Outstanding No.,Outstanding Amt
Eastern West Khasi Hills,3,1.17,42,5.29
East Garo Hills,41,16.69,313,76.01
East Jaintia Hills,0,0,3,3.33
East Khasi Hills,69,70.73,8491,2428.52
North Garo Hills,0,0,87,93.54
Ri Bhoi,233,87.87,2870,762.1
South Garo Hills,0,0,21,6.89
South West Garo Hills,13,5.3,267,81.94
South West Khasi Hills,0,0,4,1.91
West Garo Hills,404,154.04,4224,1125.83
West Jaintia Hills,45,16.04,329,82.44
West Khasi Hills,1,2.65,70,132.85
