District,Operative CASA,Aadhaar Seeded CASA,Authenticated CASA
Eastern West Khasi Hills,103785,36418,1840
East Garo Hills,116183,45161,15821
East Jaintia Hills,136982,48273,6638
East Khasi Hills,1025491,266688,128603
North Garo Hills,128277,42196,8181
Ri Bhoi,283767,77745,11765
South Garo Hills,81507,29572,9031
South West Garo Hills,136533,65041,19123
South West Khasi Hills,76894,23552,753
West Garo Hills,490735,186559,75079
West Jaintia Hills,299887,83027,42109
West Khasi Hills,144861,47835,5981
