District,CD Ratio Overall,CD Ratio Urban,CD Ratio Semi-Urban,CD Ratio Rural,Total Advances,Advances Urban,Advances Semi-Urban,Advances Rural,Total Deposits,Deposits Urban,Deposits Semi-Urban,Deposits Rural
Eastern West Khasi Hills,39.12,19.25,38.81,44.95,18584.53,1202.12,7350.04,10032.37,47504.63,6245.83,18940.17,22318.63
East Garo Hills,68.52,75.82,67.41,68,35841,4729.94,24633.28,6477.78,52308.86,6238.68,36543.89,9526.29
East Jaintia Hills,21.33,,21.03,20.65,36228.19,1055.62,5509.17,29663.4,169832.07,0,26196.04,143636.03
East Khasi Hills,43.34,44.15,45.89,35.69,1138104.94,947206.71,86919.6,103978.63,2625998.79,2145240.02,189411.25,291347.52
North Garo Hills,67.16,,57.84,71.93,26510.16,4.52,7744.23,18761.41,39472,0,13388.26,26083.74
Ri Bhoi,110.67,88.8,41.39,143.21,250711.5,4908.78,28742.58,217060.14,226535.87,5527.75,69440.38,151567.74
South Garo Hills,58.22,68.85,62.38,47.62,18288.24,2584.37,10705.04,4998.83,31412.27,3753.5,17161.69,10497.08
South West Garo Hills,66.28,,61.61,66.92,25617.4,0,2887.4,22730,38650.95,0,4686.55,33964.4
South West Khasi Hills,38.31,,34.2,38.93,13383.47,0,1561.39,11822.08,34933.82,0,4564.96,30368.86
West Garo Hills,58.43,48.59,60.04,57.84,145918.58,10238.94,93359.25,42320.39,249728.78,21071.02,155483.55,73174.21
West Jaintia Hills,29.46,24.87,35.55,23.99,86598.76,20821.92,47171.79,18605.05,293928.69,83716.43,132673.39,77538.87
West Khasi Hills,39.87,32.95,44.94,32.12,27329.9,3044.56,18344.52,5940.82,68553.61,9240,40820.24,18493.37
