District,Total Non-Priority NPA Amt,Sec Tot NPA Non No. Priorityrityrity,Other Amt (NPS),Other No. (NPS),Loan Amt Personal,Loan No Personal,Housing Amt (NPS),Housing No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
Eastern West Khasi Hills,47.67,29,35.02,23,12.65,6,0,0,0,0
East Garo Hills,433.21,214,284.26,122,148.95,92,0,0,0,0
East Jaintia Hills,243.15,192,185.52,152,57.63,40,0,0,0,0
East Khasi Hills,4149.75,2329,2648.59,1759,1369.13,558,131.86,11,0.17,1
North Garo Hills,339,167,152.17,62,186.83,105,0,0,0,0
Ri Bhoi,1654.57,1139,1534.88,1081,118.62,55,0.32,1,0.75,2
South Garo Hills,299.41,145,161.23,68,138.18,77,0,0,0,0
South West Garo Hills,253.57,156,200.51,116,53.06,40,0,0,0,0
South West Khasi Hills,10.67,15,3.08,10,7.59,5,0,0,0,0
West Garo Hills,2385.53,1335,1118.98,641,1211.81,690,54.74,4,0,0
West Jaintia Hills,458.4,317,300.91,229,150.97,86,6.24,1,0.28,1
West Khasi Hills,107.52,68,82.35,37,25.17,31,0,0,0,0
