District,SUI Pct NPA,SUI NPA No.,SUI O/S Amt,SUI O/S No.,SUI Total Disbursement Amt (CY),SUI Total Disbursement No. (CY),ST Male Account Amt (CY),ST Male Account No. (CY),SC Male Account Amt (CY),SC Male Account No. (CY),Female Account Amt (CY),Female Account No. (CY)
East Garo Hills,0,0,29.82,3,0,0,0,0,0,0,0,0
East Jaintia Hills,5.98,3,1175,48,28.6,2,15.1,1,0,0,13.5,1
East Khasi Hills,6.98,18,3957.89,264,1416.61,108,632.95,49,59.69,6,723.97,53
North Garo Hills,0,0,13.94,1,0,0,0,0,0,0,0,0
Ri Bhoi,6.68,5,1001.91,48,311.38,22,135.49,6,0,0,175.89,16
South Garo Hills,0,0,30.88,2,0,0,0,0,0,0,0,0
South West Garo Hills,5.79,1,208.44,9,0,0,0,0,0,0,0,0
South West Khasi Hills,0,0,27.53,2,0,0,0,0,0,0,0,0
West Garo Hills,8.76,5,786.47,55,419.36,37,69.54,8,0.3,1,349.52,28
West Jaintia Hills,11.98,3,503.56,42,136.03,11,0,0,0,0,136.03,11
West Khasi Hills,100,2,9.13,2,0,0,0,0,0,0,0,0
