District,Loan Current Amount Year Achievement Crop
East Garo Hills,2.8
East Jaintia Hills,71.15
East Khasi Hills,1156.59
North Garo Hills,7.18
Ri Bhoi,508.39
South Garo Hills,6.5
West Garo Hills,569.44
West Jaintia Hills,192.12
West Khasi Hills,333.78
