District,Total Agri NPA Amt (PS),Total Agri NPA No. (PS),Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Term Loan Amt,Term Loan No.,Crop Amt,Crop No.
East Garo Hills,1165.21,3210,2.73,2,421.12,1551,45.93,77,695.43,1580
East Jaintia Hills,231.28,467,26.69,16,128.72,335,28.24,44,47.63,72
East Khasi Hills,4116.79,5799,306.56,124,1197.66,788,216.84,470,2395.73,4417
North Garo Hills,1749.15,4112,26.99,11,573.63,1676,21.43,30,1127.1,2395
Ri Bhoi,8606,14907,106.82,174,747.9,1660,143.73,314,7607.55,12759
South Garo Hills,832.82,2287,2.12,2,476.22,1258,43.83,78,310.65,949
South West Garo Hills,1752.76,4730,0.88,1,654.05,2054,20.03,56,1077.8,2619
South West Khasi Hills,212.98,340,0,0,92.52,106,8.96,10,111.5,224
West Garo Hills,3070.61,8022,98.57,32,734.86,2949,209.68,470,2027.5,4571
West Jaintia Hills,1211.89,1852,149.64,102,273.19,294,27.46,64,761.6,1392
West Khasi Hills,1889.5,3324,13.45,3,101.03,430,26.54,36,1748.48,2855
