District,Outstanding No.,Outstanding Amt,CY Disbursed No.,CY Disbursed Amt
Eastern West Khasi Hills,6464,7593.34,388,589.45
East Garo Hills,5856,10497.05,557,956.32
East Jaintia Hills,2536,7364.27,325,788.05
East Khasi Hills,69009,202768.31,9479,23543.85
North Garo Hills,3295,7300.92,404,690.71
Ri Bhoi,27746,48272.07,2850,4318.75
South Garo Hills,1523,5248.05,172,336.3
South West Garo Hills,3997,6510.08,369,615.77
South West Khasi Hills,2467,4488.49,226,434.88
West Garo Hills,20668,45862.7,1928,3956.77
West Jaintia Hills,11082,23396.16,1190,2282.11
West Khasi Hills,5755,8745.99,624,747.37
