District,Total Agri O/S Amt,Total Agri O/S No.,Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Farm Term Loan Credit Amt,Farm Term Loan Credit No.,Farm Crop Credit Amt,Farm Crop Credit No.
Eastern West Khasi Hills,5692.97,8118,53.5,50,1040.79,203,597.49,426,4001.19,7439
East Garo Hills,5869.14,5887,66.61,144,3336.78,1846,399.74,583,2066.01,3314
East Jaintia Hills,5076,2771,149.8,135,3354.91,729,754.85,502,816.44,1405
East Khasi Hills,142695.28,29208,4318.59,787,118150.03,1185,3163.2,2743,17063.46,24493
North Garo Hills,4025.97,6211,35.4,31,1482.08,1932,83.17,100,2425.32,4148
Ri Bhoi,29537.61,37526,733.01,679,5389.75,2077,1885.05,3571,21529.8,31199
South Garo Hills,2831.62,3567,22.68,11,1500.78,1361,283.39,311,1024.77,1884
South West Garo Hills,4724.61,7649,11.78,4,2233.9,2611,379.73,983,2099.2,4051
South West Khasi Hills,2884.51,3119,4.16,2,964.09,292,298.42,219,1617.84,2606
West Garo Hills,14241.45,17345,452.61,79,6236.09,3395,2142.81,5441,5409.94,8430
West Jaintia Hills,19421.43,7277,1383.64,281,13273.09,554,1079.44,1351,3685.26,5091
West Khasi Hills,6633.16,8069,118.94,185,1961.09,606,104.83,93,4448.3,7185
