District,SHG NPA Amt,SHG NPA No.,SHG O/S Amt,SHG O/S No.,Credit Current Amount FY Linked,Credit Linked No. (Current FY),Savings Current Amount FY Linked,Savings Linked No. (Current FY),Credit During Amount Quarter the Linked,Credit Linked No. (Quarter),Linked Quarter During the Amount Savings,Savings Linked No. (Quarter)
East Garo Hills,7.13,21,142.83,137,19.54,14,102.5,739,19.54,14,102.5,739
East Jaintia Hills,1.05,11,1442.66,971,126.5,65,1.9,37,126.5,65,1.9,37
East Khasi Hills,0.95,29,3335.93,2348,397.15,253,151.84,584,397.18,255,151.81,582
North Garo Hills,6.2,13,204.6,181,61.7,62,171.22,1088,61.75,65,171.22,1088
Ri Bhoi,2.42,72,2162.49,1739,148.33,90,129.64,412,147.48,89,125.08,366
South Garo Hills,6.42,51,316.42,410,13.7,53,192.22,722,13.75,56,192.22,722
West Garo Hills,4.32,144,1686.37,1473,240.45,127,354.83,1590,240.45,127,354.83,1590
West Jaintia Hills,0.53,14,2014.13,1396,153.97,64,83.73,110,153.97,64,83.73,110
West Khasi Hills,1.16,36,1778.41,949,258.67,90,4.61,50,255.86,89,6.2,55
