District,ATMs Previous,Opened During Quarter,Closed During Quarter
Araria,28,3,
Arwal,1,2,
Banka,0,751353,
Buxar,5,1078442,
Gaya,2,20,2721471
Gopalganj,2,0,1661309
Jamui,918158,,
Jehanabad,1,4,623168
Kaimur (Bhabua),1,7,
Katihar,0,1573162,
Khagaria,0,3,
Kishanganj,0,2,1026564
Lakhisarai,2,8,
Madhepura,0,4,
Madhubani,1,2281106,
Munger,731679,,
Muzaffarpur,2,,
Nalanda,1,1594665,
Nawada,1321460,,
Pashchim Champaran,2,2358194,
Patna,5348892,,
Purnia,2,2266823,
Rohtas,1888750,,
Samastipur,4,2319854,
Sheohar,188225,,
Sitamarhi,1554087,,
Siwan,1918107,,
Supaul,1432223,,
Vaishali,1989753,,
