District,onr B,Total Priority Sector Targetfor 2017-18,Achiev 2017-18,%,Non Priority Sector Targetfor 2017-18
Aizawl,99,84760,24708.55,58.69,42100
Serchhip,15,4490,993.84,59.16,1680
Champhai,22,4495,1475.77,404.32,365
Kolasib,16,4512,1175.21,41.97,2800
Mamit,10,2810,815.2,90.58,900
Lunglei,22,11975,4042.95,63.02,6415
Lawngtlai,12,4125,1662.68,57.24,2905
Saiha,7,2985,1558.89,57.95,2690
