District,SEP-I,SEP-G,SHG-BL
Aizawl,135,30,80
Champhai,50,10,35
Kolasib,35,10,30
Lawngtlai,30,10,30
Lunglei,50,10,35
Mamit,35,10,25
Saiha,30,10,30
Serchhip,35,10,35
