district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Aizawl,9888.69,8021.72,306324.68,26.89,22.50,33.72,36780.79,35649.25,908386.64,33.06,324235.09,980816.68
Champhai,2346.84,16823.88,0.00,38.38,43.06,,6115.13,39067.50,0.00,42.43,19170.72,45182.63
Hnahthial,3701.03,176.89,0.00,25.77,47.83,,14363.09,369.86,0.00,26.32,3877.92,14732.95
Khawzawl,2033.26,4124.89,0.00,54.54,49.44,,3728.29,8342.41,0.00,51.02,6158.15,12070.70
Kolasib,6718.57,14088.31,0.00,51.77,41.34,,12978.95,34077.35,0.00,44.22,20806.88,47056.30
Lawngtlai,6378.54,24297.07,0.00,56.73,67.54,,11243.95,35973.12,0.00,64.97,30675.61,47217.07
Lunglei,3600.59,38171.25,0.00,44.61,47.41,,8071.20,80506.33,0.00,47.16,41771.84,88577.53
Mamit,10665.97,1997.59,0.00,43.94,65.53,,24273.16,3048.13,0.00,46.35,12663.56,27321.29
Saiha,1495.13,21627.26,0.00,40.13,70.07,,3725.59,30866.44,0.00,66.84,23122.39,34592.03
Saitual,3260.72,0.00,0.00,54.90,,,5939.18,0.00,0.00,54.90,3260.72,5939.18
Serchhip,7622.23,9718.91,0.00,30.94,37.64,,24638.62,25817.93,0.00,34.37,17341.14,50456.55
