district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Aizawl,412,4.30,18703,6.01,25665778,17313.99,233444,9797.88,11436795,1852.32,18910,4.50
Champhai,0,0.00,0,0.00,2240191,1072.29,17487,541.69,1782810,75.64,0,0.00
Hnahthial,0,0.00,0,0.00,8152,202.14,3003,300.10,139,60.40,0,0.00
Khawzawl,0,0.00,0,0.00,9857,234.86,6425,297.24,138,44.68,0,0.00
Kolasib,0,0.00,0,0.00,48914,1432.02,18204,1271.53,1231,310.26,0,0.00
Lawngtlai,0,0.00,0,0.00,6766945,2814.77,25969,894.51,3067985,125.67,0,0.00
Lunglei,0,0.00,0,0.00,3113578,1816.48,35202,1446.71,2027042,215.64,0,0.00
Mamit,0,0.00,0,0.00,29580,667.49,12148,673.69,360,108.74,0,0.00
Saiha,0,0.00,0,0.00,4624372,1011.29,16871,950.30,2139261,71.59,0,0.00
Saitual,0,0.00,0,0.00,4722,106.49,3209,154.05,111,30.81,0,0.00
Serchhip,0,0.00,0,0.00,29303,793.45,17173,754.35,427,138.06,0,0.00
