district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Aizawl,684.51,368,1,3.00,1.30,72.75,40,10.55,689.74,373,193.51,2518,77
Champhai,241.05,253,3,7.02,11.41,28.13,28,11.79,238.59,253,106.71,861,54
Hnahthial,134.58,105,0,0.00,0.25,31.89,21,23.40,136.29,106,46.59,272,8
Khawzawl,81.92,104,3,3.02,10.68,7.05,8,8.61,81.92,104,185.23,531,9
Kolasib,368.43,336,28,89.86,9.29,2.48,5,0.66,374.78,344,143.16,1069,37
Lawngtlai,240.14,249,22,25.16,93.92,21.75,44,9.06,240.16,249,544.21,1797,231
Lunglei,206.09,159,0,0.00,0.02,12.67,17,6.15,206.02,159,79.34,1414,2
Mamit,210.15,250,2,3.01,1.43,0.49,2,0.23,210.15,250,404.25,1092,21
Saiha,243.78,215,3,4.00,62.43,74.41,39,30.35,245.17,216,193.23,981,46
Saitual,79.21,94,0,0.00,0.00,0.00,0,0.00,79.21,94,35.63,383,0
Serchhip,363.40,316,13,28.03,1.46,6.20,10,1.71,362.54,316,204.49,1090,21
