district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Aizawl,3,4,123,14,0,31,17,26,67,130,110
Champhai,1,11,0,6,0,15,5,8,2,12,15
Hnahthial,1,0,0,0,0,0,3,1,0,1,4
Khawzawl,0,2,0,0,0,8,3,2,1,2,6
Kolasib,2,7,0,2,0,19,5,7,3,9,15
Lawngtlai,2,4,0,9,0,34,5,5,2,6,12
Lunglei,2,13,0,6,3,14,7,9,3,15,19
Mamit,5,0,0,1,0,17,9,1,0,5,10
Saiha,0,5,0,1,0,9,1,4,2,5,7
Saitual,1,0,0,0,0,6,5,0,0,1,5
Serchhip,1,4,0,0,0,13,9,3,3,5,15
