district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Aizawl,15.00,1,0.00,0,0.00,0,0.00,23.57,14
Champhai,25.02,4,0.02,2,0.00,0,0.00,165.60,199
Hnahthial,0.00,0,0.00,0,0.00,0,0.00,6.62,12
Khawzawl,3.02,3,2.02,2,0.00,0,0.00,55.56,82
Kolasib,89.87,28,118.80,58,1.85,2,0.49,381.06,343
Lawngtlai,25.16,22,21.08,23,1.64,5,0.80,205.86,200
Lunglei,8.00,1,0.01,1,0.00,0,0.00,11.65,2
Mamit,3.01,2,20.53,22,0.25,1,0.12,205.65,246
Saiha,9.00,5,29.67,33,0.00,0,0.00,188.61,224
Saitual,0.00,0,0.84,1,0.00,0,0.00,62.48,72
Serchhip,41.53,15,30.51,26,2.20,2,0.60,363.95,285
