district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Aizawl,279.86,88,367.92,74,363.07,201,19.89,1825.54,799
Champhai,29.39,19,25.39,19,14.48,13,4.20,344.86,166
Hnahthial,0.00,0,0.00,0,0.25,1,1.58,15.78,12
Khawzawl,7.36,2,5.00,2,0.00,0,0.00,45.10,30
Kolasib,30.03,13,18.13,11,9.03,3,2.77,325.96,160
Lawngtlai,24.91,25,13.85,25,0.00,0,0.00,154.85,156
Lunglei,31.99,20,29.35,20,48.93,34,9.94,492.04,344
Mamit,109.43,39,121.17,39,1.28,1,0.36,354.38,211
Saiha,12.21,3,10.00,2,15.67,8,7.59,206.41,112
Saitual,22.48,12,17.67,12,14.17,5,23.26,60.93,29
Serchhip,55.01,21,71.99,21,0.00,0,0.00,253.29,156
