district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa
Aizawl,305366,168919,419744
Champhai,34757,13030,52756
Hnahthial,7774,3033,12605
Khawzawl,10390,2027,15760
Kolasib,34656,12899,60244
Lawngtlai,30486,12708,61484
Lunglei,47062,15618,76448
Mamit,17921,6054,26572
Saiha,22727,7274,37082
Saitual,6402,2110,11320
Serchhip,29798,6813,43349
