district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Aizawl,58923.77,41480,35378,53241,37899,9866,16301,20258,76858,54180
Champhai,16129.64,11577,11327,11182,4591,2250,2777,13513,22904,9391
Hnahthial,5040.64,2623,4756,3813,2476,299,1861,7379,7379,0
Khawzawl,11221.03,7725,5206,6130,2247,1534,1864,5967,12931,6964
Kolasib,10531.76,10137,7543,9115,7794,1388,6046,11087,17680,5266
Lawngtlai,32285.22,21585,27095,14352,12687,5944,9428,36383,48680,12288
Lunglei,34343.21,25165,28087,23072,15759,7686,11500,32318,53252,20735
Mamit,23644.18,15805,11736,14524,3775,2601,3059,27541,27541,0
Saiha,18123.73,11858,12364,6967,5387,3890,3076,8849,24222,15373
Saitual,7436.94,5395,3756,5161,1624,1173,1009,9151,9151,0
Serchhip,14150.21,9495,7821,9489,4519,1002,3360,10744,17316,6572
