district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Aizawl,243328,30811,327789,33827,2162
Champhai,27068,3113,55581,4944,330
Hnahthial,7460,2792,13744,3026,70
Khawzawl,9268,720,5827,2541,264
Kolasib,29799,5773,26653,8511,574
Lawngtlai,23909,7851,176292,11560,259
Lunglei,38519,9573,164740,14611,461
Mamit,18437,2290,17074,4628,178
Saiha,15129,2873,58224,5143,792
Saitual,6518,1575,0,2308,127
Serchhip,26131,1770,9190,4797,608
