district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Aizawl,14.80,11,774.22,239,7449.55,1816,158613.18,45907
Champhai,0.00,0,87.98,99,582.68,175,9374.89,4241
Hnahthial,1.50,1,1.50,1,374.21,104,2676.99,1095
Khawzawl,0.00,0,0.00,0,303.87,101,4272.43,2686
Kolasib,6.12,3,167.19,124,1088.26,381,13819.82,8065
Lawngtlai,0.00,0,96.93,35,972.59,305,23241.88,7302
Lunglei,13.61,5,655.80,123,1442.64,374,24127.07,8634
Mamit,0.40,1,6.50,4,528.96,246,8271.34,4551
Saiha,0.00,0,6.82,2,453.67,89,15203.63,4800
Saitual,0.00,0,4.04,1,182.39,76,2844.81,1733
Serchhip,0.00,0,10.58,5,938.17,266,12176.66,5760
