district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Aizawl,4.00,19,7994.61,1950,0.00,0,3.62,50,10.70,9,8012.93,2028,0.00,0
Champhai,8.00,2,690.68,202,0.00,0,0.00,0,0.00,1,698.68,205,0.00,0
Hnahthial,0.00,0,374.21,104,0.00,0,0.00,1,0.00,0,374.21,105,0.00,0
Khawzawl,0.00,0,303.87,101,0.00,0,0.00,0,0.00,0,303.87,101,0.00,0
Kolasib,0.00,1,1231.63,475,0.00,0,0.91,13,0.00,0,1232.54,489,0.00,0
Lawngtlai,302.01,964,1605.79,356,0.00,0,0.00,1,5.00,3,1912.80,1324,0.00,0
Lunglei,35.37,113,1467.68,426,0.00,0,11.16,10,1.00,2,1515.21,551,0.00,0
Mamit,0.50,1,506.98,184,0.00,0,1.02,3,0.00,1,508.50,189,0.00,0
Saiha,0.00,0,468.20,93,0.00,0,0.00,0,0.00,0,468.20,93,0.00,0
Saitual,0.00,0,182.39,76,0.00,0,1.01,3,0.00,0,183.40,79,0.00,0
Serchhip,0.00,1,938.17,266,0.00,0,0.00,0,0.00,0,938.17,267,0.00,0
