District,CD Ratio Overall,CD Ratio Urban,CD Ratio Semi-Urban,CD Ratio Rural,Total Advances,Advances Urban,Advances Semi-Urban,Advances Rural,Total Deposits,Deposits Urban,Deposits Semi-Urban,Deposits Rural
East Garo Hills,67.5,73.83,67.21,64.45,29573.62,4194.91,19601.38,5777.33,43812.96,5681.98,29166.42,8964.56
East Jaintia Hills,18.67,,16.56,18.9,25796.02,387.31,5030.56,20378.15,138175.16,0,30380.02,107795.14
East Khasi Hills,39.89,41.04,39.83,32.09,891630.7,741100.75,65312.74,85217.21,2235310.41,1805799.86,163969.49,265541.06
North Garo Hills,62.84,,57.5,65.62,21180.29,0,6628.86,14551.43,33705.08,0,11528.9,22176.18
Ri Bhoi,91.73,81.07,36.13,115.42,201948,3789.83,23037.96,175120.21,220148.79,4674.86,63755.57,151718.36
South Garo Hills,54.1,68.84,59.28,41.43,15642.15,2336.17,9075.58,4230.4,28913.71,3393.82,15310.04,10209.85
West Garo Hills,51.23,52.7,51.83,49.53,120394.56,10488.24,75684.6,34221.72,235008.49,19900.81,146018.63,69089.05
West Jaintia Hills,26.89,23.36,34.19,19.92,65314.36,19278.2,33774.75,12261.41,242869.87,82524.08,98781.83,61563.96
West Khasi Hills,37.64,38.06,44.16,22.61,23607.86,3280.47,16585.48,3741.91,62722.29,8618.92,37556.04,16547.33
