District,Girl Student Outstanding Amt,Outstanding Amt,Girl Student Outstanding No.,Outstanding No.,Girl Student Disbursed Amt,Disbursed Amt,Girl Student Disbursed No.,Disbursed No.,Girl Student Sanctioned Amt,Sanctioned Amt,Girl Student Sanctioned No.,Sanctioned No.
East Garo Hills,32.59,105.88,14,38,19.96,36.66,6,11,3.31,8.71,2,4
East Jaintia Hills,74.62,152.41,28,49,7.81,18.15,4,6,5.88,8.6,3,4
East Khasi Hills,4640.64,12526.11,1167,2215,1115.69,3170.85,220,408,637.85,2021.9,93,203
North Garo Hills,15.39,38.27,3,12,0,1.31,0,1,0,0,0,0
Ri Bhoi,521.3,818.46,225,280,66.55,120.47,27,52,48.14,68.22,21,32
South Garo Hills,12.19,28.71,6,10,3.08,12.38,3,5,3.04,3.04,3,3
South West Garo Hills,28.81,31.54,15,18,21.31,26.22,10,13,8.3,11.03,8,11
South West Khasi Hills,69.19,107.18,33,51,25.15,38.52,10,16,7.59,10.56,4,7
West Garo Hills,277.42,690.76,108,229,62.34,243.52,33,68,14.71,56.16,12,33
West Jaintia Hills,269.24,477.89,102,167,25.19,59.07,14,27,15.76,21.22,8,13
West Khasi Hills,227.96,319.12,103,146,19.38,35.96,14,22,33.07,36.5,9,12
