District,Total Minority O/S Loan Amt,Total Minority O/S Loan No.,Jains Amt,Jains No.,Zoroastrians Amt,Zoroastrians No.,Sikhs Amt,Sikhs No.,Buddhists Amt,Buddhists No.,Muslims Amt,Muslims No.,Christians Amt,Christians No.
East Garo Hills,1973.74,528,1.48,1,3.33,1,14.63,2,12.92,1,1486.6,175,454.78,348
East Jaintia Hills,6844.53,3328,27.83,3,0,0,0,0,5.65,1,878.23,140,5932.82,3184
East Khasi Hills,113558.15,47246,167.23,16,0,0,1450.5,592,643.18,142,15448.64,2735,95848.6,43761
North Garo Hills,379.25,228,0,0,0,0,0,0,0,0,113.78,34,265.47,194
Ri Bhoi,22484.07,13490,155.88,13,2.09,1,1813.38,35,205.85,34,8734.12,1742,11572.75,11665
South Garo Hills,1617.11,459,9.37,1,0,0,0,0,0,0,1227.58,41,380.16,417
West Garo Hills,16454.34,8643,4.05,1,0,0,84.84,20,31.15,13,8055.01,3465,8279.29,5144
West Jaintia Hills,18488.95,8108,0,0,0,0,5.53,9,0,0,902.45,86,17580.97,8013
West Khasi Hills,7967.47,5622,0,0,0,0,11.47,5,10.39,8,303.4,150,7642.21,5459
