District,Outstanding No.,Outstanding Amt,CY Disbursed No.,CY Disbursed Amt
Eastern West Khasi Hills,6048,6079,1713,1957.24
East Garo Hills,4727,8261.99,1754,3781.14
East Jaintia Hills,2270,6314.41,792,2931.41
East Khasi Hills,61464,158435.45,21379,54730.92
North Garo Hills,2913,5575.88,668,2103.86
Ri Bhoi,25626,39486.91,5522,13244.9
South Garo Hills,1224,4052.67,407,2222.03
South West Garo Hills,3820,5558.02,1077,2026.1
South West Khasi Hills,2182,3495.14,560,1337.48
West Garo Hills,16205,36418.52,5138,13316.84
West Jaintia Hills,8956,18338.37,3433,7526.51
West Khasi Hills,5355,7587.94,1311,2665.32
