District,NRLM NPA Amt,No. NRLM NPA,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.,Self-Help Group Current Year Amt,Self-Help Group Current Year No.
Eastern West Khasi Hills,1.99,31,24.74,20,923.9,755,187.5,103
East Garo Hills,7.86,63,9.29,21,252.74,372,139.61,110
East Jaintia Hills,0.5,2,2.66,2,529.06,569,207.01,172
East Khasi Hills,0.26,7,6.33,10,1133.44,1355,753.72,755
North Garo Hills,19.19,111,1.88,9,185.74,376,127,145
Ri Bhoi,3.81,61,36.31,48,998.97,1085,183,128
South Garo Hills,6.77,71,39.81,78,258.63,305,125.55,112
South West Garo Hills,7.43,38,24.32,35,341.41,419,77.26,55
South West Khasi Hills,1.21,7,6.36,8,524.94,427,126.76,92
West Garo Hills,5.34,152,30.26,53,1130.44,1402,557.62,472
West Jaintia Hills,2.16,23,18.1,18,957.22,1052,324.89,335
West Khasi Hills,1.02,8,6.94,8,683.19,630,197.6,141
