District,NULM NPA Amt,NULM NPA No.,NULM O/S Amt,NULM O/S No.,NRLM NPA Amt,NRLM NPA No.,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.
Eastern West Khasi Hills,0,0,0,0,18.39,31,24.74,20,923.9,755
East Garo Hills,0,0,0,0,19.86,63,9.29,21,252.74,372
East Jaintia Hills,0,0,0,0,2.66,2,2.66,2,529.06,569
East Khasi Hills,12,23,18.11,30,2.96,7,6.33,10,1133.44,1355
North Garo Hills,0,0,0,0,35.64,111,1.88,9,185.74,376
Ri Bhoi,6.42,4,0,0,38.1,61,36.31,48,998.97,1085
South Garo Hills,1.31,1,4.63,5,17.51,71,39.81,78,258.63,305
South West Garo Hills,0,0,0,0,25.37,38,24.32,35,341.41,419
South West Khasi Hills,0,0,0,0,6.35,7,6.36,8,524.94,427
West Garo Hills,18.1,18,50.52,54,60.34,152,30.26,53,1130.44,1402
West Jaintia Hills,9.64,8,14.92,11,20.7,23,18.1,18,957.22,1052
West Khasi Hills,0,0,0.18,1,6.94,8,6.94,8,683.19,630
