district,1_year_and_above,6_months_to_1_year,above_60_day_below_6_months,pending_below_60_days,total_pending
Alipurduar,0.0,0.0,0.0,2.0,2.0
Bankura,21.0,5.0,5.0,1.0,32.0
Birbhum,35.0,5.0,12.0,4.0,56.0
Cooch Behar,16.0,1.0,2.0,0.0,19.0
Dakshin Dinajpur,46.0,6.0,2.0,0.0,54.0
Darjeeling,15.0,6.0,3.0,1.0,25.0
Hooghly,113.0,37.0,56.0,8.0,214.0
Howrah,113.0,63.0,14.0,8.0,198.0
Jalpaiguri,20.0,2.0,0.0,0.0,22.0
Jhargram,1.0,0.0,0.0,0.0,1.0
Kalimpong,0.0,0.0,2.0,0.0,2.0
Kolkata,30.0,33.0,59.0,9.0,131.0
Malda,45.0,7.0,5.0,2.0,59.0
Murshidabad,78.0,6.0,16.0,1.0,101.0
Nadia,42.0,10.0,12.0,1.0,65.0
North 24 Parganas,189.0,53.0,50.0,7.0,299.0
Paschim Bardhaman,73.0,26.0,16.0,7.0,122.0
Paschim Medinipur,54.0,5.0,5.0,1.0,65.0
Purba Bardhaman,76.0,25.0,20.0,11.0,132.0
Purba Medinipur,49.0,9.0,14.0,1.0,73.0
Purulia,16.0,2.0,8.0,2.0,28.0
South 24 Parganas,257.0,24.0,61.0,24.0,366.0
Uttar Dinajpur,21.0,3.0,0.0,0.0,24.0
