district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,62.55,326.0,1596.0,2666.0,63.72,4262.0,4869.0,7641.0,607.0
Birbhum,73.5,240.0,1275.0,3536.0,68.24,4811.0,4819.0,7062.0,8.0
Cooch Behar,53.73,149.0,1118.0,1298.0,69.07,2416.0,2450.0,3547.0,34.0
Darjeeling,66.49,119.0,778.0,1544.0,76.18,2322.0,2366.0,3106.0,44.0
Hooghly,86.56,283.0,663.0,4269.0,69.14,4932.0,4932.0,7133.0,0.0
Howrah,27.3,645.0,9180.0,3448.0,81.4,12628.0,13281.0,16315.0,653.0
Jalpaiguri,81.84,269.0,733.0,3304.0,77.04,4037.0,4301.0,5583.0,264.0
Malda,63.44,244.0,1528.0,2652.0,67.02,4180.0,4774.0,7123.0,594.0
Nadia,47.08,231.0,2069.0,1841.0,68.5,3910.0,3984.0,5816.0,74.0
North 24 Parganas,61.5,291.0,2202.0,3517.0,78.14,5719.0,5843.0,7478.0,124.0
Purba Bardhaman,60.39,264.0,1817.0,2770.0,68.35,4587.0,4587.0,6711.0,0.0
Purba Medinipur,53.5,249.0,2371.0,2728.0,71.41,5099.0,5148.0,7209.0,49.0
Purulia,65.08,194.0,910.0,1696.0,52.61,2606.0,2606.0,4953.0,0.0
South 24 Parganas,78.32,327.0,1127.0,4072.0,61.85,5199.0,5320.0,8601.0,121.0
Uttar Dinajpur,55.71,228.0,1792.0,2254.0,72.06,4046.0,4126.0,5726.0,80.0
