district,amount_in_cr,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sponsored_sanct_ioned_in_handloom_cluster_no,loan_sponsored_sanct_ioned_in_kvib_cluster_no,proposals_sponsored_generated_in_msme_cluster_no
Alipurduar,0.72,18.0,16.0,21.0,27.0,25.0,26.0,44.0
Bankura,0.57,36.0,0.0,45.0,85.0,0.0,155.0,218.0
Birbhum,0.0,17.0,13.0,0.0,17.0,13.0,0.0,30.0
Cooch Behar,1.11,1736.0,8.0,24.0,1889.0,12.0,30.0,1949.0
Dakshin Dinajpur,0.06,10.0,0.0,3.0,10.0,0.0,3.0,29.0
Darjeeling,0.42,2067.0,0.0,12.0,2067.0,0.0,12.0,2067.0
Hooghly,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0
Howrah,0.0,94.0,0.0,0.0,94.0,0.0,0.0,94.0
Jalpaiguri,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0
Jhargram,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
Kalimpong,0.0,14.0,0.0,0.0,14.0,0.0,0.0,39.0
Kolkata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malda,0.0,56.0,56.0,0.0,56.0,56.0,0.0,74.0
Murshidabad,0.0,0.0,197.0,0.0,0.0,207.0,0.0,29.0
Nadia,5.09,40.0,70.0,23.0,55.0,340.0,35.0,350.0
North 24 Parganas,0.0,57.0,18.0,0.0,82.0,18.0,0.0,113.0
Paschim Bardhaman,0.0,6.0,0.0,0.0,6.0,0.0,0.0,7.0
Paschim Medinipur,0.97,2776.0,14.0,21.0,2776.0,14.0,46.0,3387.0
Purba Bardhaman,0.0,26.0,0.0,0.0,26.0,0.0,0.0,29.0
Purba Medinipur,0.0,1069.0,21.0,0.0,1069.0,21.0,0.0,1962.0
Purulia,0.42,8.0,0.0,22.0,11.0,0.0,22.0,27.0
South 24 Parganas,0.1,9.0,0.0,6.0,11.0,0.0,8.0,22.0
Uttar Dinajpur,0.0,1537.0,0.0,0.0,1548.0,0.0,0.0,1962.0
