district,No. of Aadhaar Seeded,ar_cu_psaycard_issued,balance,female_a_c,male_a_c,rural_a_c,total_a_c,total_depzoesriot,urban_a_c
Alipurduar,196824.0,185094.0,24927.0,131624.0,98849.0,154994.0,230473.0,69.69,75479.0
Bankura,1636949.0,1140684.0,109627.0,1120481.0,895818.0,1764271.0,2016299.0,864.47,252028.0
Birbhum,1685179.0,1280668.0,136767.0,1192779.0,880960.0,1660812.0,2073739.0,649.95,412927.0
Cooch Behar,1183551.0,1119474.0,95787.0,800896.0,627098.0,1002690.0,1427994.0,299.23,425304.0
Dakshin Dinajpur,848755.0,597138.0,68832.0,603928.0,452127.0,877339.0,1056055.0,263.06,178716.0
Hooghly,1811204.0,1318590.0,96982.0,1243765.0,866081.0,1437487.0,2109846.0,840.4,672359.0
Howrah,1520363.0,1198548.0,86871.0,1061850.0,740481.0,1190701.0,1802331.0,671.88,611630.0
Jalpaiguri,1369209.0,1258196.0,108438.0,938039.0,701062.0,1074457.0,1639101.0,536.91,564644.0
Kolkata,590751.0,560166.0,75574.0,412383.0,344522.0,6175.0,756905.0,321.07,750730.0
Malda,2380454.0,1447563.0,258697.0,1651717.0,1199572.0,2446016.0,2851289.0,791.15,405273.0
Murshidabad,3197877.0,2610015.0,242202.0,2218168.0,1657022.0,2770177.0,3875190.0,1069.37,1105013.0
Nadia,2166706.0,1758744.0,187139.0,1572782.0,1159594.0,1835675.0,2732376.0,918.59,896701.0
North 24 Parganas,3181166.0,2576582.0,200636.0,2237227.0,1598994.0,2239254.0,3836221.0,1441.87,1596967.0
Paschim Medinipur,2246564.0,1520778.0,125812.0,1565579.0,1155709.0,2311976.0,2721288.0,1155.49,409312.0
Purba Bardhaman,2614745.0,2089148.0,157537.0,2014410.0,1225564.0,2248488.0,3239974.0,960.45,991486.0
Purba Medinipur,1993435.0,1401514.0,102837.0,1350355.0,1061452.0,2216519.0,2411807.0,1091.29,195288.0
Purulia,1452432.0,1018767.0,129681.0,973345.0,799106.0,1486816.0,1772451.0,775.37,285635.0
South 24 Parganas,3666606.0,2706357.0,310605.0,2557337.0,1890319.0,3705465.0,4447656.0,1574.42,742191.0
Uttar Dinajpur,1831583.0,1190505.0,223417.0,1320433.0,1027538.0,1848028.0,2347971.0,456.56,499943.0
