district,amt,average_disbursement_amt_in_lakh,disbursement_no,of_achievement_no,outstanding_no,sanctioned_no,target_2021_22_no
Alipurduar,59.39,1.59,12175.0,99.51,19716.0,12773.0,12235.0
Bankura,49.19,1.78,21153.0,72.67,46718.0,20996.0,29110.0
Birbhum,61.01,2.49,32305.0,63.36,56104.0,43867.0,50988.0
Cooch Behar,58.44,1.47,33003.0,114.55,47206.0,19329.0,28810.0
Dakshin Dinajpur,29.37,1.12,10826.0,74.16,20623.0,9254.0,14598.0
Darjeeling,47.16,1.9,3863.0,98.35,5332.0,2342.0,3928.0
Hooghly,81.67,2.01,26044.0,131.94,37964.0,18715.0,19739.0
Howrah,74.8,2.29,19990.0,83.77,31695.0,15552.0,23863.0
Jalpaiguri,72.02,1.7,18979.0,126.62,32496.0,14321.0,14989.0
Jhargram,58.41,1.66,8455.0,89.95,15104.0,7789.0,9400.0
Kalimpong,43.37,1.92,1796.0,95.53,2703.0,974.0,1880.0
Kolkata,100.0,1.4,726.0,100.0,2476.0,,0.0
Malda,40.46,1.23,23509.0,83.81,49609.0,18339.0,28051.0
Murshidabad,53.23,1.37,30709.0,96.32,71253.0,21683.0,31883.0
Nadia,34.65,1.36,18528.0,76.59,42980.0,15157.0,24190.0
North 24 Parganas,45.74,1.32,31447.0,82.72,55316.0,24598.0,38018.0
Paschim Bardhaman,74.49,2.4,5275.0,63.89,8705.0,5186.0,8257.0
Paschim Medinipur,68.92,2.0,30145.0,101.29,53305.0,26523.0,29762.0
Purba Bardhaman,67.59,2.72,25850.0,68.38,47681.0,28505.0,37805.0
Purba Medinipur,69.0,2.46,37061.0,85.54,68137.0,28740.0,43328.0
Purulia,34.91,1.3,12590.0,61.5,32642.0,12189.0,20472.0
South 24 Parganas,69.06,1.62,37573.0,117.81,66285.0,24190.0,31893.0
Uttar Dinajpur,50.77,1.17,15997.0,114.85,32854.0,9368.0,13928.0
