district,Total Advance,Overall CD Ratio,cd_ratio_as_on_december_2021_deposit,cd_ratio_as_on_march
Alipurduar,3127.91,49.1,6370.12,48.18
Bankura,5778.0,46.13,12526.0,45.01
Birbhum,7714.42,44.35,17392.6,41.09
Cooch Behar,7159.14,75.51,9480.52,77.36
Dakshin Dinajpur,2979.4,61.29,4861.54,62.21
Darjeeling,15382.02,57.26,26862.09,64.4
Hooghly,16692.98,34.45,48460.52,27.08
Howrah,21000.64,44.8,46881.03,41.86
Jalpaiguri,6090.19,59.19,10288.82,59.09
Jhargram,1720.05,40.02,4298.44,40.03
Kalimpong,724.95,40.47,1791.15,40.04
Kolkata,233883.38,59.17,395262.4,64.06
Malda,7180.44,56.73,12656.42,55.83
Murshidabad,9892.78,42.85,23086.7,42.62
Nadia,15912.0,50.16,31725.0,50.02
Paschim Bardhaman,17300.94,42.48,40724.36,41.59
Paschim Medinipur,11884.1,45.55,26087.68,43.37
Purba Bardhaman,14011.45,49.31,28412.16,45.58
Purba Medinipur,13304.48,45.69,29122.05,42.65
Purulia,3992.0,48.02,8313.0,54.58
Uttar Dinajpur,4982.09,59.92,8314.67,60.63
