district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,86.96,12.0,6.0,40.0,21.6,46.0,46.0,213.0,0.0
Birbhum,72.09,8.0,12.0,31.0,18.22,43.0,43.0,236.0,0.0
Cooch Behar,70.65,6.0,27.0,65.0,51.98,92.0,92.0,177.0,0.0
Darjeeling,70.24,6.0,25.0,59.0,49.12,84.0,84.0,171.0,0.0
Hooghly,100.0,9.0,0.0,12.0,5.31,12.0,12.0,226.0,0.0
Howrah,,9.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0
Jalpaiguri,,5.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0
Malda,50.0,10.0,3.0,3.0,2.53,6.0,6.0,237.0,0.0
Nadia,0.0,11.0,4.0,0.0,2.03,4.0,4.0,197.0,0.0
North 24 Parganas,100.0,13.0,0.0,86.0,20.77,86.0,86.0,414.0,0.0
Purba Bardhaman,,11.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0
Purba Medinipur,72.41,10.0,48.0,126.0,51.63,174.0,174.0,337.0,0.0
Purulia,,7.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0
South 24 Parganas,24.32,12.0,28.0,9.0,10.66,37.0,37.0,347.0,0.0
Uttar Dinajpur,36.36,9.0,56.0,32.0,35.43,88.0,90.0,254.0,2.0
