district,achievement_no_wise,amoun,amount,amount_wise,forwarded_to_bank_no,mm_claimed_no,mm_disbursed_no,returned_t_no,sanctioned_no,target_2021_22_no
Alipurduar,23.85,1.01,2.39,25.95,212.0,28.0,31.0,86.0,54.0,130.0
Bankura,6.92,0.27,2.21,6.84,204.0,9.0,9.0,67.0,61.0,130.0
Birbhum,33.08,1.45,2.07,37.2,217.0,41.0,43.0,76.0,55.0,130.0
Cooch Behar,20.0,0.55,5.07,14.18,339.0,25.0,26.0,181.0,53.0,130.0
Dakshin Dinajpur,31.67,2.07,4.16,57.61,195.0,35.0,38.0,79.0,38.0,120.0
Darjeeling,33.33,1.24,2.0,34.39,166.0,33.0,40.0,62.0,55.0,120.0
Hooghly,20.83,0.76,3.81,21.02,250.0,27.0,25.0,127.0,44.0,120.0
Howrah,18.33,0.56,2.35,15.52,220.0,15.0,22.0,82.0,43.0,120.0
Jalpaiguri,47.5,1.82,2.29,50.48,437.0,61.0,57.0,125.0,90.0,120.0
Jhargram,3.33,0.19,0.23,5.32,34.0,4.0,4.0,8.0,13.0,120.0
Kalimpong,5.0,0.2,0.34,5.5,39.0,8.0,6.0,10.0,14.0,120.0
Kolkata,3.33,0.04,0.59,1.13,88.0,4.0,4.0,29.0,12.0,120.0
Malda,15.83,0.54,3.22,15.12,283.0,17.0,19.0,99.0,45.0,120.0
Murshidabad,33.6,3.13,9.66,41.29,526.0,87.0,85.0,239.0,142.0,253.0
Nadia,11.67,0.68,4.42,18.85,516.0,11.0,14.0,113.0,32.0,120.0
North 24 Parganas,59.0,4.39,13.21,73.12,933.0,124.0,118.0,371.0,177.0,200.0
Paschim Bardhaman,3.33,0.23,0.12,6.36,22.0,3.0,4.0,6.0,8.0,120.0
Paschim Medinipur,17.06,1.19,4.05,23.39,341.0,30.0,29.0,137.0,52.0,170.0
Purba Medinipur,60.0,12.82,12.41,95.15,1203.0,263.0,270.0,344.0,304.0,450.0
Purulia,10.83,0.39,1.57,10.83,139.0,13.0,13.0,50.0,20.0,120.0
South 24 Parganas,31.0,3.22,11.16,35.79,656.0,93.0,93.0,290.0,153.0,300.0
Uttar Dinajpur,30.83,1.05,0.58,29.1,82.0,37.0,37.0,14.0,61.0,120.0
