district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,863.87,1292.61,516.55,40.76,310.05,2119.21
Bankura,5859.53,4432.3,3723.11,64.55,921.43,9076.84
Birbhum,4716.29,4634.15,3723.15,48.55,1356.1,9713.4
Cooch Behar,3470.61,3725.89,2135.52,50.93,953.34,6814.75
Dakshin Dinajpur,5656.73,3862.15,3804.44,66.82,799.64,8466.23
Darjeeling,2776.37,997.02,1905.14,72.58,922.99,3825.15
Hooghly,4425.19,4611.24,4333.84,42.04,1581.11,10526.19
Howrah,9843.08,2141.08,11440.81,67.14,1079.36,14661.25
Jalpaiguri,2393.6,2303.21,2490.94,41.32,998.51,5792.66
Jhargram,3026.25,2117.51,1774.4,65.32,741.29,4633.2
Kalimpong,179.68,297.35,325.45,24.63,106.79,729.59
Kolkata,11733.57,614.55,13792.23,54.41,7156.76,21563.54
Malda,5979.08,5751.32,2407.38,53.82,2949.97,11108.67
Murshidabad,9751.02,7606.64,5388.68,65.79,1827.15,14822.47
Nadia,9556.0,6393.07,6232.77,66.71,1699.48,14325.32
Paschim Bardhaman,3930.58,306.48,5049.93,67.87,434.81,5791.22
Paschim Medinipur,10152.46,8432.24,5371.25,64.55,1925.64,15729.13
Purba Bardhaman,7090.29,8142.25,4038.52,51.99,1457.78,13638.55
Purba Medinipur,7773.7,5567.84,5109.98,61.34,1995.45,12673.27
Purulia,3805.46,3438.91,2881.61,51.28,1100.24,7420.76
Uttar Dinajpur,3405.0,2929.71,954.75,70.18,967.27,4851.73
