district,disb_amt,kishore_no,sanc_amt,shishu_no,tarun_no,total_no
Alipurduar,347.8,8028.0,357.95,85945.0,519.0,94492.0
Bankura,279.53,7542.0,302.69,42799.0,1074.0,51415.0
Birbhum,670.12,21975.0,694.84,76379.0,1266.0,99620.0
Cooch Behar,296.26,6903.0,325.04,56553.0,1314.0,64770.0
Dakshin Dinajpur,271.79,8900.0,279.7,61100.0,446.0,70446.0
Howrah,668.85,20295.0,698.03,110051.0,1308.0,131654.0
Jalpaiguri,543.99,17793.0,578.28,114385.0,1522.0,133700.0
Jhargram,80.63,2268.0,87.41,10291.0,311.0,12870.0
Kalimpong,5.65,276.0,5.78,134.0,21.0,431.0
Kolkata,725.34,17836.0,766.9,88678.0,3607.0,110121.0
Malda,579.75,14659.0,597.86,135197.0,876.0,150732.0
Murshidabad,1301.12,41994.0,1360.51,302003.0,2158.0,346155.0
Nadia,744.98,21435.0,775.65,142389.0,2203.0,166027.0
North 24 Parganas,1106.42,35963.0,1174.92,198413.0,3261.0,237637.0
Paschim Medinipur,611.23,17443.0,671.28,70574.0,2777.0,90794.0
Purba Bardhaman,753.28,21472.0,767.51,88330.0,1957.0,111759.0
Purba Medinipur,716.46,22259.0,823.05,96211.0,2759.0,121229.0
South 24 Parganas,687.41,21232.0,720.5,146901.0,2212.0,170345.0
Uttar Dinajpur,276.99,6632.0,288.6,67197.0,574.0,74403.0
