district,amount,kcc_disbursement_during_01_04_2021_to_31_12_2021_fresh_renewal_no,kcc_outstanding_as_on_31_12_2021_no,of_achievement_no,target_no
Alipurduar,140.85,21678.0,26625.0,56.31,38500.0
Bankura,773.91,122947.0,167181.0,62.09,198000.0
Birbhum,965.8,198308.0,227024.0,82.63,240000.0
Cooch Behar,980.65,129606.0,192050.0,68.21,190000.0
Dakshin Dinajpur,842.47,65258.0,199906.0,56.75,115000.0
Darjeeling,90.18,9385.0,20543.0,50.73,18500.0
Hooghly,1454.63,209791.0,314601.0,53.11,395000.0
Howrah,352.06,38759.0,76185.0,40.8,95000.0
Jalpaiguri,475.18,23887.0,93224.0,59.72,40000.0
Jhargram,489.07,36293.0,110462.0,65.99,55000.0
Kalimpong,58.83,7555.0,10093.0,75.55,10000.0
Kolkata,0.0,0.0,0.0,,0.0
Malda,869.13,66043.0,243437.0,60.04,110000.0
Murshidabad,680.97,66293.0,148603.0,69.78,95000.0
Nadia,971.71,59412.0,185742.0,54.01,110000.0
Paschim Bardhaman,96.38,12351.0,16862.0,49.4,25000.0
Paschim Medinipur,790.4,101722.0,152132.0,41.52,245000.0
Purba Bardhaman,2982.38,133935.0,591499.0,47.83,280000.0
Purba Medinipur,2873.71,461594.0,595520.0,61.55,750000.0
Purulia,535.38,31316.0,99016.0,89.47,35000.0
Uttar Dinajpur,1397.32,41750.0,315219.0,75.91,55000.0
