district,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt.,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.,Agri NPA Amt %,Total MSME (PS) O/S No.,Total MSME (PS) O/S Amt.,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.,MSME NPA Amt %,Total Other PS O/S No.,Total Other PS O/S Amt.,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt.,OTHER(PS) NPA Amt %,Total PS O/S No.,Total PS O/S Amt.,Total PSA NPA No.,Total PSA NPA Amt.,TOTAL PSA NPA Amt %
Bajali,32,25369,19200.33,8306,2937.15,15.3,4791,14535.38,1303,825.15,5.68,3961,11500.29,396,236.73,2.06,34121,45236,10005,3999.03,8.84
Baksa,39,19517,20163.11,5173,2835.43,14.06,6437,13366.57,2060,1756.78,13.14,1517,6680.82,194,152.99,2.29,27471,40210.5,7427,4745.2,11.8
Barpeta,93,74683,75879.12,24721,14005.99,18.46,19473,76723.84,6469,6552.54,8.54,16759,29740.49,1510,590.55,1.99,110915,182343.45,32700,21149.08,11.6
Biswanath,60,37976,43246.49,11751,6079.83,14.06,10457,26919.08,3392,2136.66,7.94,8597,16855.9,2047,637.27,3.78,57030,87021.47,17190,8853.76,10.17
Bongaigaon,66,34002,39492.68,5094,2593.87,6.57,12517,55703.62,2805,3530.68,6.34,13319,22659.86,1184,257.13,1.13,59838,117856.16,9083,6381.68,5.41
Cachar,169,81451,66053.24,29031,15598.83,23.62,29001,141465.01,7252,12815.25,9.06,49168,53758.41,2269,981.06,1.82,159620,261276.66,38552,29395.14,11.25
Charaideo,37,20128,21033.73,2751,1625.96,7.73,5550,14397.66,1426,1608.56,11.17,4956,13736.77,571,178.45,1.3,30634,49168.16,4748,3412.97,6.94
Chirang,40,23424,22832.49,8693,4990.34,21.86,7625,18684.01,3099,2446.83,13.1,6055,7986.93,1052,144.43,1.81,37104,49503.43,12844,7581.6,15.32
Darrang,71,62247,58088.24,19888,10712.47,18.44,14632,54305.07,4920,5431.64,10,9647,17783.14,1484,535.45,3.01,86526,130176.45,26292,16679.56,12.81
Dhemaji,48,40283,39545.65,12877,8351.75,21.12,13299,30014.63,4071,2730.38,9.1,7788,18376.2,522,287.93,1.57,61370,87936.48,17470,11370.06,12.93
Dhubri,91,48646,38812.66,23902,11258.91,29.01,15511,47834.55,5467,3513.91,7.35,18188,23572.91,1049,521.15,2.21,82345,110220.12,30418,15293.97,13.88
Dibrugarh,191,97742,114957.15,32545,19248.37,16.74,32906,188362.98,8740,13566.9,7.2,22675,53880.5,2446,1185.27,2.2,153323,357200.63,43731,34000.54,9.52
Dima Hasao,32,3283,3876.75,652,243.7,6.29,4391,8258.66,674,539.43,6.53,525,4708.02,13,18.34,0.39,8199,16843.43,1339,801.47,4.76
Goalpara,73,41386,39853.09,12734,6327.21,15.88,14352,38898.32,4830,4139.09,10.64,14736,17834.37,2305,847.13,4.75,70474,96585.78,19869,11313.43,11.71
Golaghat,127,89534,82165.4,29692,13339.55,16.23,19375,62777.6,4899,4525.13,7.21,19124,29195.92,1472,371.92,1.27,128033,174138.92,36063,18236.6,10.47
Hailakandi,47,24154,19259.43,9348,4343.42,22.55,7878,19341.26,2452,2459.25,12.72,6814,9646.7,105,306.36,3.18,38846,48247.39,11905,7109.03,14.73
Hojai,60,32829,30616.64,10084,5187.94,16.94,12844,44037.09,3813,4247.2,9.64,8230,28047.24,390,185.73,0.66,53903,102700.97,14287,9620.87,9.37
Jorhat,139,74277,82682.78,25733,10848.05,13.12,22986,147622.79,5331,11867.86,8.04,20847,50642.68,4376,953.7,1.88,118110,280948.25,35440,23669.61,8.42
Kamrup Metro,179,115744,96064.98,39956,20218.62,21.05,26638,102336.74,8585,7796.15,7.62,39416,58624.99,10705,1888.45,3.22,181798,257026.71,59246,29903.22,11.63
Karbi Anglong,68,44194,41703.22,8601,4778.82,11.46,10533,21214.73,1774,1384.66,6.53,5206,22377.65,651,344.42,1.54,59933,85295.6,11026,6507.9,7.63
Karimganj,95,37460,28021.08,15345,8548.61,30.51,12293,54111.04,3305,5441.05,10.06,17444,21264.8,1089,358.15,1.68,67197,103396.92,19739,14347.81,13.88
Kokrajhar,59,40005,38976.6,11437,6468.28,16.6,9848,30353.92,3601,3915.04,12.9,13220,16286.25,1125,203.36,1.25,63073,85616.77,16163,10586.68,12.37
Lakhimpur,94,90420,73823.41,33477,17128.83,23.2,25162,63631.7,9508,5990.01,9.41,11713,38952.85,1751,769.8,1.98,127295,176407.96,44736,23888.64,13.54
Majuli,17,10734,8367.44,2663,1559.96,18.64,2544,4821.05,635,619.81,12.86,1132,3344.96,543,28.73,0.86,14410,16533.45,3841,2208.5,13.36
Morigaon,68,59565,50149.04,21073,11152.43,22.24,12017,33553.38,4626,5798.81,17.28,7771,37792.42,392,235.26,0.62,79353,121494.84,26091,17186.5,14.15
Nagaon,157,130269,103301.16,56990,23559.81,22.81,28223,123169.64,9253,9682.29,7.86,25321,57264.33,2647,1026.21,1.79,183813,283735.13,68890,34268.31,12.08
Nalbari,89,63255,50402.8,22414,9253.95,18.36,14584,48512.73,5162,5175.36,10.67,13909,29929,3535,1111.21,3.71,91748,128844.53,31111,15540.52,12.06
Sivasagar,106,53901,46182.2,14031,6744.53,14.6,19797,91921.99,4335,5549.8,6.04,14402,33269.74,1873,758.5,2.28,88100,171373.93,20239,13052.83,7.62
Sonitpur,135,69766,67264.78,21023,10224.71,15.2,23309,115535.87,6882,8970.26,7.76,21803,61787.46,3951,2030.71,3.29,114878,244588.11,31856,21225.68,8.68
